URL,company_name,headquarters,industry,total_rating,highest_score_name,highest_score_point,course_name,duration,start_date,entry_deadline,catch_phrase
/2026/company/r697130025/internship/,株式会社　復建エンジニヤリング,東京,建設コンサルタント／鉄道／建築設計／コンサルタント・専門コンサルタント,4.77,社員からのアドバイス,5.00,＜WEB＞建設コンサルタントの仕事を体験しよう,1日,10月随時、11月随時、12月随時、1月随時、2月随時(WEB),2月28日,〈建築土木の方向け〉建設コンサルタント【鉄道・道路・交通計画】
/2026/company/r277220063/internship/,サンキン株式会社,大阪,商社（金属）／鉄鋼／金属製品／建材・エクステリア／非鉄金属,N/A,N/A,N/A,メーカー営業と商社営業の違いが分かる◆WEB説明会,1日,10月随時、11月随時、12月随時(WEB),12月31日,■モノづくりに欠かせない営業とは？メーカー兼商社のおもしろさが学べる説明会■
/2026/company/r368611040/internship/,株式会社大和農園,奈良,農林／食品／商社（食料品）／教育関連／不動産,N/A,N/A,N/A,◆研究開発職・営業職コース◆,1日,11/20、12/18、1/29(WEB),1月24日,開発、営業、通販企画部門を実体験！ 「大和農園で働く」が対面でまるっと分かる
/2026/company/r516381005/internship/,アスカカンパニー株式会社,兵庫、宮城,化学／機械／非鉄金属,4.65,社員からのアドバイス,4.72,【全学部】若手社員との交流会ありのWEB説明会,1日,11/8、11/13(WEB),11月11日,全学部◆【対面】あなたがアスカの採用担当だったら【WEB】若手社員との交流
/2026/company/r730782016/internship/,東海ローディング株式会社,愛知,陸運（貨物）／商社（食料品）／倉庫／各種ビジネスサービス／人材サービス（人材紹介・人材派遣）,N/A,N/A,N/A,東海ローディング【1day仕事体験】,1日,1月随時(愛知),1月24日,JA関連の運送業と「東海ローディング」を知る1dayプログラム
/2026/company/r976502096/internship/,羽二重豆腐株式会社,石川,食品,N/A,N/A,N/A,【迷ったらこれ！】短時間で食品メーカー理解コース,1日,10月下旬、11月上旬、12月随時、1月随時、2月随時(WEB),1月24日,食品メーカーの裏側を知れるWEB開催
/2026/company/r236110017/internship/,株式会社リクルートR＆Dスタッフィング,東京,自動車／化学／機械／半導体・電子部品・その他／ソフトウェア,N/A,N/A,N/A,参加特典あり☆当社のエンジニア職を徹底理解☆,1日,1月随時(WEB),1月31日,【エンジニア・研究者】として働く人生プランを考えてみませんか？★
/2026/company/r710862030/internship/,株式会社積水化成品埼玉,埼玉,化学／その他製造／食品,N/A,N/A,N/A,【先着順・選考なし】業界研究に！会社説明会コース,1日,1月随時(WEB),1月24日,業界研究に！化学の会社が知れるオープン・カンパニー！
/2026/company/r580891031/internship/,新潟綜合警備保障株式会社,新潟,安全・セキュリティ産業,N/A,N/A,N/A,【Web開催】OPEN ALSOK(オープン・カンパニー),1日,10/23、1/24(WEB),1月23日,あなたの「知りたい」に合わせて、多様なプログラムをご用意しています！
/2026/company/r871102039/internship/,株式会社北海道吉村,北海道,商社（インテリア）,N/A,N/A,N/A,【インテリア商社の営業がわかる半日体験！】,1日,1月随時(北海道),1月20日,【インテリア商社の営業がわかる半日体験！】北海道吉村のお仕事共有
